City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Avarua,CK,-21.21,-159.78,71.6,88,100,9.17,overcast clouds,2020-09-05 17:01:45
1,Port Alfred,ZA,-33.59,26.89,63.64,74,84,9.78,broken clouds,2020-09-05 17:01:45
2,Busselton,AU,-33.65,115.33,63.0,71,79,20.38,broken clouds,2020-09-05 17:01:45
3,Mackenzie,CA,55.3,-123.17,53.6,93,75,2.24,broken clouds,2020-09-05 17:01:45
4,Atuona,PF,-9.8,-139.03,79.48,73,15,21.88,few clouds,2020-09-05 17:01:46
5,Punta Arenas,CL,-53.15,-70.92,39.2,86,40,9.17,scattered clouds,2020-09-05 16:59:28
6,Sochi,RU,43.6,39.73,77.0,83,90,2.24,light rain,2020-09-05 17:01:34
7,Bethel,US,41.37,-73.41,75.99,35,1,9.17,clear sky,2020-09-05 17:01:46
8,Jamestown,US,42.1,-79.24,66.99,55,75,12.75,broken clouds,2020-09-05 17:01:46
9,Souillac,MU,-20.52,57.52,69.8,83,75,12.75,shower rain,2020-09-05 17:01:47
10,Kapaa,US,22.08,-159.32,78.8,74,20,13.87,few clouds,2020-09-05 17:01:20
11,East London,ZA,-33.02,27.91,59.0,93,75,5.82,light rain,2020-09-05 17:01:47
12,Naliya,IN,23.27,68.83,83.07,78,0,10.02,clear sky,2020-09-05 17:01:47
13,Dawlatabad,AF,36.41,64.91,74.46,20,0,4.07,clear sky,2020-09-05 17:01:48
14,Jurado,CO,7.11,-77.76,84.0,70,47,6.91,light rain,2020-09-05 17:01:48
15,Gisenyi,RW,-1.7,29.26,71.8,55,60,0.92,broken clouds,2020-09-05 17:00:58
16,Clyde River,CA,70.47,-68.59,39.2,80,75,28.86,light intensity shower rain,2020-09-05 17:01:49
17,Sitka,US,57.05,-135.33,48.2,93,40,1.39,scattered clouds,2020-09-05 17:01:49
18,Albany,US,42.6,-73.97,75.0,35,0,1.01,clear sky,2020-09-05 17:00:40
19,Seoul,KR,37.57,126.98,69.8,73,90,2.35,overcast clouds,2020-09-05 16:56:57
20,Tateyama,JP,34.98,139.87,80.01,92,0,1.01,light rain,2020-09-05 17:01:49
21,Samarai,PG,-10.62,150.67,78.12,86,96,10.4,light rain,2020-09-05 17:01:50
22,Krasnoselkup,RU,65.7,82.47,50.11,81,100,14.09,overcast clouds,2020-09-05 17:01:50
23,Ushuaia,AR,-54.8,-68.3,44.6,56,75,16.11,shower rain,2020-09-05 17:01:50
24,Hobart,AU,-42.88,147.33,46.99,81,9,8.05,clear sky,2020-09-05 16:59:10
25,Mahebourg,MU,-20.41,57.7,69.8,83,75,12.75,shower rain,2020-09-05 17:01:51
26,Mehamn,NO,71.04,27.85,56.21,73,79,8.75,broken clouds,2020-09-05 17:01:51
27,Butaritari,KI,3.07,172.79,82.53,75,6,14.16,clear sky,2020-09-05 17:01:51
28,Bluff,NZ,-46.6,168.33,45.0,72,72,11.01,broken clouds,2020-09-05 17:01:51
29,Sola,VU,-13.88,167.55,77.79,77,79,21.81,broken clouds,2020-09-05 17:01:52
30,Dikson,RU,73.51,80.55,41.92,90,16,18.14,few clouds,2020-09-05 17:01:52
31,Codrington,AU,-38.27,141.97,42.6,93,13,8.14,few clouds,2020-09-05 17:01:52
32,Boyolangu,ID,-8.12,111.89,73.04,89,45,3.24,scattered clouds,2020-09-05 17:01:52
33,Gravdal,NO,68.12,13.5,54.05,87,100,9.46,overcast clouds,2020-09-05 17:01:53
34,Sayat,TM,38.78,63.88,82.4,24,0,13.87,clear sky,2020-09-05 17:01:53
35,Severo-Kurilsk,RU,50.68,156.12,52.56,72,89,3.67,overcast clouds,2020-09-05 17:01:53
36,Mahajanga,MG,-15.72,46.32,75.2,64,40,3.36,scattered clouds,2020-09-05 17:01:53
37,Javanrud,IR,34.8,46.52,84.2,14,20,5.7,few clouds,2020-09-05 17:01:54
38,Anori,BR,-3.77,-61.64,101.91,24,37,5.12,scattered clouds,2020-09-05 17:01:54
39,New Norfolk,AU,-42.78,147.06,46.99,73,39,3.0,scattered clouds,2020-09-05 17:01:54
40,Rikitea,PF,-23.12,-134.97,71.44,80,10,17.16,clear sky,2020-09-05 17:01:55
41,Dondo,MZ,-19.61,34.74,71.6,73,20,12.75,few clouds,2020-09-05 17:01:55
42,Hualmay,PE,-11.1,-77.61,66.15,65,44,10.96,scattered clouds,2020-09-05 17:01:55
43,Paso De Carrasco,UY,-34.86,-56.05,61.0,50,0,12.75,clear sky,2020-09-05 17:00:47
44,Upernavik,GL,72.79,-56.15,35.28,79,30,13.91,scattered clouds,2020-09-05 17:01:56
45,Vydrino,RU,51.48,104.85,50.32,87,100,10.63,light rain,2020-09-05 17:01:56
46,Carnarvon,AU,-24.87,113.63,64.4,100,40,8.05,scattered clouds,2020-09-05 17:01:56
47,Ponta Do Sol,PT,32.67,-17.1,73.0,67,79,5.99,broken clouds,2020-09-05 17:01:56
48,Urengoy,RU,65.97,78.37,50.56,62,90,17.29,overcast clouds,2020-09-05 17:01:57
49,Isangel,VU,-19.55,169.27,70.27,80,27,13.51,light rain,2020-09-05 17:01:57
50,Bosaso,SO,11.28,49.18,89.58,56,0,1.23,clear sky,2020-09-05 17:01:57
51,Puerto Escondido,MX,15.85,-97.07,84.2,62,40,4.7,scattered clouds,2020-09-05 17:01:57
52,Richards Bay,ZA,-28.78,32.04,67.64,70,0,13.09,clear sky,2020-09-05 17:01:58
53,Hithadhoo,MV,-0.6,73.08,77.67,85,100,31.41,heavy intensity rain,2020-09-05 17:01:58
54,Shache,CN,38.42,77.24,68.18,25,45,5.48,scattered clouds,2020-09-05 17:01:58
55,Pevek,RU,69.7,170.31,35.38,85,7,7.2,clear sky,2020-09-05 17:01:58
56,Shenjiamen,CN,29.96,122.3,73.94,73,0,17.29,clear sky,2020-09-05 17:01:58
57,Ribeira Grande,PT,38.52,-28.7,75.2,50,20,18.34,few clouds,2020-09-05 17:01:59
58,Puerto Del Rosario,ES,28.5,-13.86,78.8,69,20,23.04,few clouds,2020-09-05 17:01:59
59,Mataura,NZ,-46.19,168.86,45.0,72,46,11.01,scattered clouds,2020-09-05 17:02:00
60,Barra Do Corda,BR,-5.5,-45.25,101.52,20,95,7.61,overcast clouds,2020-09-05 17:00:13
61,Jacarezinho,BR,-23.16,-49.97,90.32,27,36,7.31,scattered clouds,2020-09-05 17:02:00
62,Fleury-Merogis,FR,48.64,2.36,69.01,42,65,10.29,broken clouds,2020-09-05 17:02:00
63,Bathsheba,BB,13.22,-59.52,87.8,70,20,16.11,few clouds,2020-09-05 17:02:00
64,Broken Hill,AU,-31.95,141.43,53.6,50,0,10.29,clear sky,2020-09-05 17:02:01
65,Raga,SS,8.46,25.68,73.04,92,98,2.73,light rain,2020-09-05 17:02:01
66,Burnie,AU,-41.07,145.92,46.0,88,58,1.99,broken clouds,2020-09-05 17:02:01
67,Rayevskiy,RU,54.07,54.95,51.3,82,0,5.21,clear sky,2020-09-05 17:02:01
68,Narsaq,GL,60.92,-46.05,46.4,93,75,4.7,heavy intensity drizzle,2020-09-05 17:02:02
69,Aklavik,CA,68.22,-135.01,33.8,74,90,6.93,overcast clouds,2020-09-05 17:02:02
70,Niamey,NE,13.51,2.11,89.6,55,40,5.82,scattered clouds,2020-09-05 16:58:24
71,Nikolskoye,RU,59.7,30.79,64.0,72,83,6.71,broken clouds,2020-09-05 17:02:02
72,Lagoa,PT,39.05,-27.98,68.92,74,70,21.99,broken clouds,2020-09-05 17:02:03
73,Goderich,CA,43.75,-81.72,66.99,83,70,3.0,broken clouds,2020-09-05 17:00:06
74,Puerto Ayora,EC,-0.74,-90.35,73.4,60,40,11.41,scattered clouds,2020-09-05 17:02:03
75,Katsuura,JP,35.13,140.3,80.01,92,2,1.01,clear sky,2020-09-05 17:02:03
76,Guerrero Negro,MX,27.98,-114.06,81.9,57,0,5.82,clear sky,2020-09-05 17:02:04
77,Nemuro,JP,43.32,145.57,62.85,96,99,7.27,overcast clouds,2020-09-05 17:02:04
78,Tasiilaq,GL,65.61,-37.64,41.0,75,75,6.93,broken clouds,2020-09-05 17:02:04
79,Port Elizabeth,ZA,-33.92,25.57,57.2,93,20,6.93,light rain,2020-09-05 17:02:04
80,Utete,TZ,-7.99,38.76,73.69,67,6,8.81,clear sky,2020-09-05 17:02:05
81,Beihai,CN,21.48,109.1,84.61,74,0,6.8,clear sky,2020-09-05 17:01:30
82,San Juan Del Sur,NI,11.25,-85.87,78.8,83,75,10.11,thunderstorm,2020-09-05 17:02:05
83,Cabo San Lucas,MX,22.89,-109.91,91.4,59,5,4.7,clear sky,2020-09-05 17:00:25
84,Progreso,MX,21.28,-89.67,89.01,66,75,10.29,broken clouds,2020-09-05 17:02:05
85,Saldanha,ZA,-33.01,17.94,55.4,87,98,8.05,overcast clouds,2020-09-05 16:57:56
86,Muravlenko,RU,63.79,74.52,48.38,67,100,24.0,overcast clouds,2020-09-05 17:02:06
87,Vaini,TO,-21.2,-175.2,69.8,64,75,13.87,broken clouds,2020-09-05 17:02:06
88,Bambous Virieux,MU,-20.34,57.76,69.8,83,75,12.75,shower rain,2020-09-05 17:02:06
89,Gushikawa,JP,26.35,127.87,78.8,94,1,24.16,clear sky,2020-09-05 17:02:06
90,Cayenne,GF,4.93,-52.33,78.8,88,12,10.29,light rain,2020-09-05 17:02:06
91,Anadyr,RU,64.75,177.48,39.2,86,97,4.47,overcast clouds,2020-09-05 17:02:07
92,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,58,40,6.93,scattered clouds,2020-09-05 17:02:07
93,Yar-Sale,RU,66.83,70.83,41.52,76,38,8.41,scattered clouds,2020-09-05 17:02:07
94,Bredasdorp,ZA,-34.53,20.04,55.4,87,100,4.7,light rain,2020-09-05 17:02:08
95,San Carlos De Bariloche,AR,-41.15,-71.31,50.0,31,20,3.36,few clouds,2020-09-05 17:00:27
96,Byron Bay,AU,-28.65,153.62,64.0,93,40,8.05,scattered clouds,2020-09-05 17:02:08
97,Iberia,US,29.95,-91.75,91.99,70,1,4.7,clear sky,2020-09-05 16:58:11
98,Galveston,US,29.37,-94.97,90.0,74,1,11.41,clear sky,2020-09-05 17:02:08
99,Marevo,RU,57.31,32.08,59.18,85,87,5.68,overcast clouds,2020-09-05 17:02:08
100,Baruun-Urt,MN,46.68,113.28,59.11,60,92,10.29,overcast clouds,2020-09-05 17:02:09
101,La Palma,US,33.85,-118.05,88.0,54,1,4.59,clear sky,2020-09-05 17:02:09
102,Mar Del Plata,AR,-38.0,-57.56,50.0,71,75,12.75,broken clouds,2020-09-05 16:58:18
103,Saint-Georges,GD,12.06,-61.75,84.2,83,75,11.41,broken clouds,2020-09-05 17:01:26
104,Qaanaaq,GL,77.48,-69.36,29.16,82,1,4.72,clear sky,2020-09-05 17:02:09
105,Aswan,EG,24.09,32.91,101.21,18,53,13.06,broken clouds,2020-09-05 17:02:10
106,Kaifeng,CN,34.79,114.35,71.6,78,69,2.24,broken clouds,2020-09-05 17:02:10
107,Barrow,US,71.29,-156.79,37.4,93,90,4.7,overcast clouds,2020-09-05 16:59:30
108,Tuktoyaktuk,CA,69.45,-133.04,35.6,93,90,9.17,light rain,2020-09-05 17:02:10
109,Arraial Do Cabo,BR,-22.97,-42.03,80.6,74,23,9.17,few clouds,2020-09-05 17:02:10
110,Port Hedland,AU,-20.32,118.57,68.0,94,73,6.93,broken clouds,2020-09-05 17:02:11
111,Auki,SB,-8.77,160.7,77.14,87,85,4.07,overcast clouds,2020-09-05 17:02:11
112,Kidal,ML,18.44,1.41,98.49,25,89,10.83,overcast clouds,2020-09-05 17:02:11
113,Ahipara,NZ,-35.17,173.17,54.28,77,99,9.48,overcast clouds,2020-09-05 17:02:11
114,Bengkulu,ID,-3.8,102.27,75.87,90,98,3.85,moderate rain,2020-09-05 17:02:12
115,Namibe,AO,-15.2,12.15,66.24,69,0,4.29,clear sky,2020-09-05 17:02:12
116,Amga,RU,60.9,131.96,49.5,95,99,2.84,overcast clouds,2020-09-05 17:02:12
117,Saint George,US,37.1,-113.58,90.0,14,1,3.36,clear sky,2020-09-05 17:00:07
118,Saint-Philippe,RE,-21.36,55.77,66.2,88,75,14.99,broken clouds,2020-09-05 17:02:12
119,Lebu,CL,-37.62,-73.65,53.89,66,64,5.61,broken clouds,2020-09-05 17:02:13
120,Sao Filipe,CV,14.9,-24.5,80.76,75,100,4.07,moderate rain,2020-09-05 17:02:13
121,Wakkanai,JP,45.41,141.67,67.73,95,25,4.29,scattered clouds,2020-09-05 17:02:13
122,Hermanus,ZA,-34.42,19.23,54.0,94,100,9.64,light rain,2020-09-05 17:02:14
123,Great Yarmouth,GB,52.61,1.73,66.0,58,78,12.48,light rain,2020-09-05 17:02:07
124,Saskylakh,RU,71.92,114.08,38.34,88,79,9.78,broken clouds,2020-09-05 17:02:14
125,Tiksi,RU,71.69,128.87,43.79,96,100,10.4,light rain,2020-09-05 17:02:15
126,Sorsk,RU,54.0,90.25,36.16,87,0,4.32,clear sky,2020-09-05 17:02:15
127,Sibolga,ID,1.74,98.78,76.41,74,100,3.56,overcast clouds,2020-09-05 16:59:22
128,Nalut,LY,30.33,10.85,97.0,14,77,4.05,broken clouds,2020-09-05 17:02:09
129,Hamilton,US,39.18,-84.53,81.0,42,0,1.01,clear sky,2020-09-05 17:02:16
130,Chiang Klang,TH,19.29,100.86,76.98,83,67,1.41,broken clouds,2020-09-05 17:02:16
131,Arlit,NE,18.74,7.39,103.35,13,0,6.26,clear sky,2020-09-05 17:02:17
132,Shingu,JP,33.73,135.98,76.01,85,6,6.71,light rain,2020-09-05 17:02:17
133,Aripuana,BR,-9.17,-60.63,105.51,16,44,4.34,scattered clouds,2020-09-05 17:02:17
134,Muros,ES,42.78,-9.06,73.0,68,1,10.0,clear sky,2020-09-05 17:02:17
135,Lasa,IT,46.62,10.7,72.0,55,5,9.17,clear sky,2020-09-05 17:02:17
136,Ancud,CL,-41.87,-73.82,57.99,69,84,1.01,broken clouds,2020-09-05 17:02:18
137,Seddon,AU,-37.81,144.89,48.0,87,19,2.24,few clouds,2020-09-05 17:02:18
138,Pizarro,CO,4.95,-77.37,81.3,82,60,8.57,light rain,2020-09-05 17:02:18
139,Novogornyy,RU,55.63,60.79,44.6,93,4,6.71,clear sky,2020-09-05 17:02:18
140,Chavakkad,IN,10.53,76.05,80.6,94,90,8.05,light intensity drizzle,2020-09-05 17:02:19
141,Mecca,SA,21.43,39.83,92.64,32,17,4.27,few clouds,2020-09-05 16:58:21
142,Castro,BR,-24.79,-50.01,81.57,36,62,9.8,broken clouds,2020-09-05 17:02:19
143,Chateaudun,FR,48.08,1.33,68.0,40,83,6.93,broken clouds,2020-09-05 17:02:19
144,Broome,US,42.25,-75.83,73.0,48,1,12.75,clear sky,2020-09-05 17:02:20
145,Kodiak,US,57.79,-152.41,39.2,93,90,6.93,overcast clouds,2020-09-05 17:02:20
146,Adrar,MR,20.5,-10.07,101.64,20,80,15.59,broken clouds,2020-09-05 17:02:20
147,Liberal,US,37.04,-100.92,84.2,48,1,13.87,clear sky,2020-09-05 16:57:54
148,Saint-Pierre,RE,-21.34,55.48,66.2,88,75,14.99,broken clouds,2020-09-05 17:02:21
149,Georgetown,MY,5.41,100.34,80.6,88,20,3.36,few clouds,2020-09-05 16:58:33
150,Gari,RU,59.43,62.35,43.23,82,25,3.89,scattered clouds,2020-09-05 17:02:21
151,Lensk,RU,60.73,114.93,55.35,93,3,4.43,clear sky,2020-09-05 17:02:21
152,Moerai,PF,-22.43,-151.33,74.48,89,83,12.26,broken clouds,2020-09-05 17:02:21
153,Solone,UA,48.21,34.87,78.01,29,20,15.66,few clouds,2020-09-05 17:02:22
154,Acapulco,MX,16.86,-99.89,84.2,74,75,13.87,broken clouds,2020-09-05 16:59:32
155,Cape Town,ZA,-33.93,18.42,57.0,87,40,16.11,scattered clouds,2020-09-05 16:59:47
156,Havelock,US,34.88,-76.9,88.0,58,20,13.87,few clouds,2020-09-05 16:58:00
157,Porto Novo,BJ,6.5,2.6,80.6,78,40,19.46,scattered clouds,2020-09-05 17:02:22
158,Xingyi,CN,24.19,102.82,62.15,94,98,3.13,overcast clouds,2020-09-05 17:02:22
159,Niquelandia,BR,-14.47,-48.46,100.96,13,21,2.84,few clouds,2020-09-05 17:00:17
160,Ribeira Brava,PT,32.65,-17.07,73.0,86,81,3.0,broken clouds,2020-09-05 17:02:23
161,Christchurch,NZ,-43.53,172.63,52.0,100,100,2.24,overcast clouds,2020-09-05 16:59:35
162,Huron,US,41.15,-82.55,75.99,54,0,3.0,clear sky,2020-09-05 17:02:23
163,Portland,US,45.52,-122.68,64.0,72,90,1.25,overcast clouds,2020-09-05 16:58:57
164,Texarkana,US,33.43,-94.05,78.01,83,20,5.82,few clouds,2020-09-05 17:02:24
165,Epiniana,GR,39.14,21.61,71.01,54,0,3.0,clear sky,2020-09-05 17:02:24
166,Iqaluit,CA,63.75,-68.51,53.6,32,20,6.93,few clouds,2020-09-05 17:01:08
167,Endicott,US,42.1,-76.05,73.99,46,0,4.0,clear sky,2020-09-05 17:00:04
168,Smithers,CA,54.78,-127.17,51.8,100,90,4.7,light rain,2020-09-05 17:02:25
169,Ratnagiri,IN,16.98,73.3,81.46,88,94,5.03,overcast clouds,2020-09-05 17:02:25
170,Denpasar,ID,-8.65,115.22,78.8,100,20,4.7,few clouds,2020-09-05 17:01:19
171,Molchanovo,RU,57.58,83.77,45.91,97,87,8.05,light rain,2020-09-05 17:02:25
172,Vila Velha,BR,-20.33,-40.29,84.2,58,0,12.75,clear sky,2020-09-05 17:02:25
173,Selma,US,36.57,-119.61,84.99,51,1,3.8,clear sky,2020-09-05 17:02:26
174,Puerto Plata,DO,19.79,-70.69,89.6,70,20,17.22,few clouds,2020-09-05 17:02:26
175,Ust-Kut,RU,56.79,105.77,55.9,79,100,11.36,overcast clouds,2020-09-05 17:02:26
176,Coquimbo,CL,-29.95,-71.34,60.8,59,4,13.87,clear sky,2020-09-05 17:02:26
177,Cherskiy,RU,68.75,161.3,36.73,78,0,8.32,clear sky,2020-09-05 17:02:27
178,Mendoza,AR,-32.89,-68.83,62.6,25,0,8.05,clear sky,2020-09-05 16:59:16
179,Maldonado,UY,-34.67,-54.92,57.99,67,0,13.87,clear sky,2020-09-05 17:02:27
180,Lavrentiya,RU,65.58,-171.0,41.41,82,97,2.95,overcast clouds,2020-09-05 17:02:27
181,Luderitz,NA,-26.65,15.16,61.38,65,0,26.91,clear sky,2020-09-05 17:02:28
182,Eureka,US,40.8,-124.16,64.99,87,1,7.36,clear sky,2020-09-05 17:02:14
183,Yellowknife,CA,62.46,-114.35,48.99,75,75,11.41,broken clouds,2020-09-05 17:02:28
184,San Patricio,MX,19.22,-104.7,80.6,83,90,11.74,overcast clouds,2020-09-05 17:02:28
185,Buala,SB,-8.14,159.59,79.74,83,53,8.59,light rain,2020-09-05 17:02:28
186,Saint-Augustin,CA,51.23,-58.65,69.06,41,19,20.24,few clouds,2020-09-05 17:02:29
187,Nanortalik,GL,60.14,-45.24,48.88,88,95,12.55,overcast clouds,2020-09-05 17:02:29
188,Vestmannaeyjar,IS,63.44,-20.27,51.8,62,11,11.41,few clouds,2020-09-05 17:02:29
189,Bolivar,US,37.61,-93.41,82.99,71,22,5.57,light rain,2020-09-05 17:02:29
190,Rutland,US,43.62,-73.02,70.0,52,1,10.29,clear sky,2020-09-05 16:58:25
191,Victoria,HK,22.29,114.16,82.0,88,23,1.99,light rain,2020-09-05 16:59:19
192,Shakawe,BW,-18.37,21.85,75.22,18,0,5.99,clear sky,2020-09-05 17:02:30
193,Tashigang,BT,27.33,91.55,69.64,73,91,0.63,overcast clouds,2020-09-05 17:02:30
194,Catacaos,PE,-5.27,-80.68,80.74,37,4,8.66,clear sky,2020-09-05 17:02:30
195,Novyy Rogachik,RU,48.68,44.06,69.8,28,99,8.95,overcast clouds,2020-09-05 17:02:30
196,Luanda,AO,-8.84,13.23,73.4,78,40,6.93,scattered clouds,2020-09-05 17:02:16
197,Udachnyy,RU,66.42,112.4,44.6,81,90,2.24,overcast clouds,2020-09-05 17:02:31
198,Hilo,US,19.73,-155.09,73.4,83,40,1.19,scattered clouds,2020-09-05 17:02:31
199,Ketchikan,US,55.34,-131.65,55.4,100,75,3.36,broken clouds,2020-09-05 17:02:31
200,Kiunga,PG,-6.12,141.29,72.73,98,100,1.72,light rain,2020-09-05 17:02:32
201,Oranjestad,AW,12.52,-70.03,89.6,62,40,19.46,scattered clouds,2020-09-05 16:58:30
202,Saint Anthony,US,45.02,-93.22,75.0,46,1,6.17,clear sky,2020-09-05 17:02:32
203,Huangzhou,CN,30.45,114.8,78.8,74,84,4.47,broken clouds,2020-09-05 17:02:32
204,Leningradskiy,RU,69.38,178.42,32.68,94,59,4.27,broken clouds,2020-09-05 17:02:33
205,San Cristobal,VE,7.77,-72.22,89.6,55,20,8.05,few clouds,2020-09-05 17:02:33
206,Montemor-O-Novo,PT,38.65,-8.21,97.0,23,0,4.7,clear sky,2020-09-05 17:02:33
207,Asau,RO,46.43,26.4,64.99,82,40,3.62,scattered clouds,2020-09-05 17:02:33
208,Kamenka,RU,51.32,42.77,66.0,37,100,10.42,overcast clouds,2020-09-05 17:02:33
209,Khatanga,RU,71.97,102.5,37.63,79,96,8.46,overcast clouds,2020-09-05 17:02:34
210,Mbandaka,CD,0.05,18.26,75.31,85,100,5.53,overcast clouds,2020-09-05 17:02:35
211,Tuatapere,NZ,-46.13,167.68,45.0,72,40,11.01,scattered clouds,2020-09-05 17:02:35
212,Balkanabat,TM,39.51,54.37,83.88,22,25,5.21,scattered clouds,2020-09-05 17:02:36
213,Dingle,PH,11.0,122.67,77.52,90,98,2.15,overcast clouds,2020-09-05 17:02:36
214,Eenhana,NA,-17.47,16.33,93.2,14,0,4.7,clear sky,2020-09-05 17:02:36
215,Guarapari,BR,-20.67,-40.5,81.0,71,0,8.01,clear sky,2020-09-05 17:02:36
216,Harbour Breton,CA,47.48,-55.8,69.01,100,99,10.58,overcast clouds,2020-09-05 17:02:37
217,Dotnuva,LT,55.35,23.9,64.4,77,90,8.05,light intensity shower rain,2020-09-05 17:02:37
218,Kalemie,CD,-5.95,29.19,74.79,56,0,4.03,clear sky,2020-09-05 17:02:37
219,Ilulissat,GL,69.22,-51.1,39.2,80,75,6.93,broken clouds,2020-09-05 17:02:37
220,Constitucion,CL,-35.33,-72.42,55.42,71,85,10.85,overcast clouds,2020-09-05 17:02:38
221,Hasaki,JP,35.73,140.83,77.0,94,75,6.93,light intensity shower rain,2020-09-05 17:02:38
222,Longyearbyen,SJ,78.22,15.64,42.8,100,90,2.24,light intensity drizzle,2020-09-05 17:02:38
223,Hervey Bay,AU,-25.3,152.85,62.01,88,64,4.0,broken clouds,2020-09-05 16:59:08
224,Egvekinot,RU,66.32,-179.17,35.22,86,80,2.39,broken clouds,2020-09-05 17:02:38
225,Ormara,PK,25.21,64.64,81.36,84,0,14.43,clear sky,2020-09-05 17:02:39
226,Singapore,SG,1.29,103.85,78.8,88,40,1.12,scattered clouds,2020-09-05 16:58:03
227,Rorvik,NO,64.86,11.24,55.26,77,88,11.83,overcast clouds,2020-09-05 17:02:39
228,Thompson,CA,55.74,-97.86,53.6,58,20,6.93,few clouds,2020-09-05 17:02:39
229,Mapiripan,CO,2.89,-72.13,86.95,65,22,1.01,moderate rain,2020-09-05 17:02:39
230,Lagos,NG,6.58,3.75,76.69,83,94,9.71,overcast clouds,2020-09-05 17:01:08
231,Henties Bay,NA,-22.12,14.28,59.0,78,4,8.99,clear sky,2020-09-05 17:02:40
232,Vao,NC,-22.67,167.48,69.28,74,56,22.01,broken clouds,2020-09-05 17:02:40
233,Torbay,CA,47.67,-52.73,77.0,69,75,24.16,broken clouds,2020-09-05 17:02:40
234,Chokurdakh,RU,70.63,147.92,40.57,70,100,10.36,overcast clouds,2020-09-05 17:02:41
235,Beloha,MG,-25.17,45.05,63.73,71,6,16.62,clear sky,2020-09-05 17:02:41
